experience,country,education,languages,frameworks,company_size,salary_usd,salary_usd_before_cap
24,India,Bachelors,"Go, Ruby","Django, Flask",5000+,122189.0,122189.0
38,France,Masters,"Python, Ruby",Unknown,201-1000,147754.0,147754.0
36,USA,Some College,"C++, PHP","Ruby on Rails, Spring",5000+,220819.0,220819.0
3,India,Masters,"Java, JavaScript","Ruby on Rails, Spring",1-10,31943.0,31943.0
18,USA,Masters,"Go, Java","Django, React",5000+,166442.0,166442.0
24,Japan,Bachelors,"C++, Python","Ruby on Rails, Vue",1-10,121414.0,121414.0
3,USA,Bachelors,"Ruby, Rust","Spring, Vue",51-200,79820.0,79820.0
26,Australia,Masters,"C#, Go","Ruby on Rails, Vue",5000+,170805.0,170805.0
17,Germany,Bachelors,"JavaScript, Python","Angular, Flask",1001-5000,113387.0,113387.0
30,Brazil,Masters,"C++, Swift",Laravel,51-200,174312.0,174312.0
21,UK,Bachelors,"C++, Rust",Ruby on Rails,201-1000,133780.0,133780.0
20,UK,Masters,"Java, JavaScript","Express, Vue",1001-5000,106330.0,106330.0
5,Australia,Unknown,"C++, Python","Laravel, Ruby on Rails",201-1000,59647.0,59647.0
22,USA,Unknown,"PHP, Python","Django, React",51-200,151891.0,151891.0
22,Germany,Masters,"C++, Python","Flask, React",5000+,153156.0,153156.0
9,USA,Bachelors,"C#, Swift","Spring, Vue",11-50,116804.0,116804.0
30,India,High School,"C++, Python",Unknown,201-1000,107637.0,107637.0
21,Japan,Unknown,"C++, Rust",Flask,1-10,125214.0,125214.0
30,France,Masters,"Go, JavaScript","Express, Vue",1-10,138715.0,138715.0
20,USA,Bachelors,"C#, Swift","React, Ruby on Rails",201-1000,231376.0,231376.0
34,USA,Some College,"PHP, Rust","Express, Flask",5000+,205526.0,205526.0
36,USA,Unknown,"JavaScript, PHP","Django, React",11-50,170136.0,170136.0
14,India,Bachelors,"PHP, Ruby","Express, Flask",201-1000,66186.0,66186.0
16,USA,Bachelors,"C++, Java","Flask, React",1-10,134458.0,134458.0
37,India,PhD,"C#, Python","Laravel, Ruby on Rails",5000+,161531.0,161531.0
37,France,Bachelors,Go,Unknown,5000+,153499.0,153499.0
30,India,Bachelors,C++,"ASP.NET, Spring",1-10,116113.0,116113.0
35,UK,Bachelors,"JavaScript, Python","Angular, React",51-200,186877.0,186877.0
