experience,country,education,languages,frameworks,company_size,salary_usd
24,India,Bachelors,"Go, Ruby","Django, Flask",5000+,122189
38,France,Masters,"Ruby, Python",,201-1000,147754
36,USA,Some College,"PHP, C++","Spring, Ruby on Rails",5000+,220819
3,India,masters,"Java, JavaScript","Ruby on Rails, Spring",1-10,31943
18,USA,Masters,"Go, Java","React, Django",5000+,166442
24,Japan,Bachelors,"Python, C++","Vue, Ruby on Rails",1-10,121414
3,USA,Bachelors,"Rust, Ruby","Spring, Vue",51-200,79820
26,Australia,MASTERS,"C#, Go","Vue, Ruby on Rails",5000+,170805
17,Germany,Bachelors,"JavaScript, Python","Flask, Angular",1001-5000,113387
30,Brazil,Masters,"Swift, C++","Laravel, Laravel",51-200,174312
21,UK,Bachelors,"Rust, C++","Ruby on Rails, Ruby on Rails",201-1000,133780
-4,UK,Masters,"JavaScript, Java","Express, Vue",1001-5000,106330
5,australia,,"C++, Python","Laravel, Ruby on Rails",201-1000,59647
22,USA,,"Python, PHP","Django, React",51-200,151891
22,Germany,Masters,"C++, Python","React, Flask",5000+,153156
9,USA,Bachelors,"Swift, C#","Vue, Spring",11-50,116804
30,India,High School,"Python, C++",,201-1000,107637
21,Japan,,"C++, Rust","Flask, Flask",1-10,125214
27,USA,Masters,"Ruby, Go","Express, ASP.NET",5000+,
30,France,Masters,"JavaScript, Go","Express, Vue",1-10,138715
null,USA,Bachelors,"C#, Swift","Ruby on Rails, React",201-1000,231376
34,USA,Some College,"PHP, Rust","Flask, Express",5000+,205526
36,USA,,"JavaScript, PHP","React, Django",11-50,170136
14,India,Bachelors,"Ruby, PHP","Express, Flask",201-1000,66186
16,USA,Bachelors,"C++, Java","Flask, React",1-10,134458
37,India,PhD,"C#, Python","Laravel, Ruby on Rails",5000+,161531
37,France,Bachelors,"Go, Go",,5000+,153499
30,India,Bachelors,"C++, C++","ASP.NET, Spring",1-10,116113
1,Japan,bachelors,,"Vue, Laravel",11-50,
35,UK,Bachelors,"Python, JavaScript","React, Angular",51-200,186877
16,USA,MASTERS,"Rust, Ruby","Ruby on Rails, ASP.NET",5000+,
17,Germany,Masters,"Python, Ruby","Django, Vue",201-1000,98902
27,Australia,Some College,"C#, Ruby","ASP.NET, Django",5000+,N/A
20,Germany,Masters,,"Vue, Ruby on Rails",1001-5000,114144
31,USA,Bachelors,"Swift, Ruby","Angular, Express",1-10,198914
40,India,Bachelors,"Go, Swift","Laravel, React",201-1000,137578
35,Canada,,"Go, JavaScript","Flask, Flask",11-50,
22,USA,MASTERS,"Swift, PHP","Vue, React",1001-5000,149246
23,brazil,Some College,"PHP, Python","Laravel, Spring",201-1000,119888
35,USA,Bachelors,"Go, Java","Angular, ASP.NET",1-10,176036
0,USA,Bachelors,"C++, Java","Laravel, ASP.NET",1001-5000,88123
13,Canada,Some College,"C#, JavaScript","Flask, React",1001-5000,109060
28,UK,Bachelors,"Swift, Swift","Express, ASP.NET",1-10,125717
37,Germany,,"Ruby, C++","Ruby on Rails, Vue",201-1000,157683
25,Japan,Bachelors,"C++, JavaScript","Django, Django",201-1000,108472
0,Germany,,"Rust, C++","React, Django",51-200,NA
1,Germany,PhD,"C++, PHP","Ruby on Rails, Flask",5000+,88139
30,France,Some College,"C++, Rust","Angular, React",1001-5000,144532
19,USA,Masters,"PHP, PHP","Spring, Spring",201-1000,NA
38,USA,  PhD  ,"Python, Java","Angular, Ruby on Rails",1001-5000,207888
30,Germany,Bachelors,"Go, Go",,5000+,
38,Canada,Bachelors,"Java, JavaScript","Laravel, Angular",5000+,179765
25,France,Masters,,"Angular, Spring",1-10,149423
40,USA,Bachelors,"C++, PHP","Angular, Express",1001-5000,225495
11,India,Masters,"Python, Swift","Angular, Django",51-200,49236
20,Japan,Bachelors,"Java, C#","Spring, Express",1001-5000,114780
5,USA,Masters,"Java, Java",,1-10,134816
,USA,Masters,"PHP, JavaScript",,1-10,233603
13,Japan,Bachelors,"Rust, Python","Vue, Spring",201-1000,
40,USA,Bachelors,"Ruby, Rust","Django, Flask",1001-5000,203073
27,USA,Bachelors,"C++, Swift","React, Django",11-50,185509
14,USA,High School,"C#, C#","Ruby on Rails, Spring",1001-5000,125089
24,canada,Bachelors,"C++, Rust","Ruby on Rails, Angular",201-1000,149955
14,UK,Masters,"PHP, Ruby","Spring, ASP.NET",201-1000,94537
16,Australia,Bachelors,"Ruby, Go","Angular, Spring",1001-5000,100695
NaN,India,Masters,"Rust, C++","Laravel, React",51-200,
,Germany,Masters,,"ASP.NET, Flask",201-1000,113640
15,UNITED STATES,Bachelors,"Rust, C#","React, Vue",51-200,153954
15,UK,Bachelors,"Swift, Go","Laravel, React",51-200,123012
31,Canada,Masters,"PHP, C#","ASP.NET, Spring",51-200,162797
28,USA,PhD,"C++, Ruby","Angular, Spring",201-1000,225957
19,Japan,,"PHP, Go","Spring, ASP.NET",11-50,93439
18,Australia,Bachelors,"JavaScript, JavaScript","Vue, ASP.NET",11-50,88334
22,USA,Bachelors,"Java, Python","Spring, React",51-200,159698
25,USA,Bachelors,"Go, Swift","Angular, Angular",11-50,132522
31,Canada,,"JavaScript, JavaScript","Spring, Spring",1-10,156899
24,UK,Bachelors,"Swift, Rust","Spring, Flask",5000+,122236
10,UK,High School,"Swift, JavaScript",,201-1000,87173
17,USA,Bachelors,"Ruby, C++","Django, Django",201-1000,
2,USA,Bachelors,"C++, Swift",,1-10,92069
32,Germany,Bachelors,,"Laravel, Django",51-200,168319
38,India,Bachelors,"Python, Java","Express, Express",1-10,135246
26,Singapore,Some College,"Rust, JavaScript","Django, React",5000+,161034
9,Canada,Bachelors,"Ruby, C#","Django, Angular",201-1000,92758
-4,India,Bachelors,"Ruby, Java","Express, Vue",201-1000,40968
6,France,Bachelors,"PHP, JavaScript","ASP.NET, Vue",51-200,54493
22,UK,,"Go, JavaScript","Angular, Ruby on Rails",11-50,141443
35,Canada,Some College,"Swift, Java","Django, Vue",11-50,183141
28,US,Masters,"C#, Java","Spring, Ruby on Rails",11-50,157862
0,France,Bachelors,"JavaScript, Swift","Laravel, React",1-10,
17,U.S.A.,Bachelors,"PHP, Python","Express, ASP.NET",51-200,
1,USA,Bachelors,,"Flask, Angular",1001-5000,110581
21,Canada,Masters,"Java, Rust","Django, ASP.NET",1-10,137115
22,USA,Bachelors,"Ruby, JavaScript","Ruby on Rails, Vue",201-1000,186815
30,UK,Masters,,"Ruby on Rails, Laravel",5000+,167088
10,USA,some college,"C#, C#","Laravel, Angular",11-50,141784
